	movie	rating	release	age_10	age_6	age_3	age_1
509	Notting Hill	7.1	1999-05-13	34.720000000000006	35.85	35.13333333333333	31.6
510	One Flew Over the Cuckoo's Nest	8.3	1975-11-18	41.69	41.833333333333336	37.0	38.6
512	Scoop	6.4	2006-07-27	47.730000000000004	44.73333333333333	43.4	21.7
521	Dial M for Murder	7.9	1954-05-29	-1	38.99999999999999	39.333333333333336	49.4
522	Ed Wood	7.3	1994-09-27	42.65	45.949999999999996	42.36666666666667	31.3
524	Casino	7.8	1995-11-22	56.57000000000001	54.833333333333336	47.6	52.3
525	The Blues Brothers	7.6	1980-06-17	-1	44.53333333333333	35.53333333333333	28.0
526	Ladyhawke	6.8	1985-03-27	-1	40.483333333333334	30.366666666666664	23.0
530	A Grand Day Out	7.4	1990-05-18	-1	-1	-1	69.3
531	The Wrong Trousers	7.6	1993-12-17	-1	-1	-1	72.9
532	A Close Shave	7.4	1995-12-24	-1	-1	-1	74.9
533	The Curse of the Were-Rabbit	6.8	2005-09-04	-1	59.73333333333333	55.53333333333333	84.6
534	Terminator Salvation	5.9	2009-05-20	40.05	32.199999999999996	29.433333333333334	35.3
535	Flashdance	6.2	1983-04-14	-1	44.96666666666667	47.70000000000001	19.3
539	Psycho	8.3	1960-06-16	39.230000000000004	35.800000000000004	29.400000000000002	28.2
544	There's Something About Mary	6.5	1998-07-15	39.9	36.699999999999996	30.96666666666667	25.9
547	The Horse Whisperer	6.8	1998-05-14	-1	43.51666666666666	50.166666666666664	61.8
548	Rashomon	8.0	1950-12-26	-1	37.26666666666666	32.53333333333333	30.8
550	Fight Club	8.3	1999-10-15	36.67	37.5	39.36666666666667	30.2
551	The Poseidon Adventure	7.3	1972-12-01	44.839999999999996	43.98333333333333	50.9	42.9
553	Dogville	7.6	2003-05-19	53.06999999999999	52.949999999999996	61.96666666666666	35.9
557	Spider-Man	6.9	2002-05-01	42.989999999999995	45.18333333333333	31.23333333333333	26.9
558	Spider-Man 2	6.7	2004-06-25	42.21	41.76666666666667	25.8	29.0
559	Spider-Man 3	6.0	2007-05-01	43.730000000000004	31.316666666666666	28.666666666666668	31.9
561	Constantine	6.6	2005-02-08	-1	37.36666666666667	31.400000000000002	40.5
562	Die Hard	7.5	1988-07-15	-1	39.96666666666667	38.13333333333333	33.3
563	Starship Troopers	6.7	1997-11-06	34.39	29.033333333333335	28.166666666666668	28.9
564	The Mummy	6.6	1999-04-16	39.53	32.86666666666667	32.166666666666664	30.4
565	The Ring	6.5	2002-10-18	32.6	38.6	23.933333333333334	34.1
567	Rear Window	8.2	1954-08-01	38.4	40.56666666666667	37.1	46.2
568	Apollo 13	7.3	1995-06-30	29.399999999999995	40.26666666666666	38.699999999999996	39.0
571	The Birds	7.4	1963-03-28	45.72	40.06666666666667	30.86666666666667	33.2
574	The Man Who Knew Too Much	7.3	1956-06-01	41.81000000000001	46.58333333333334	43.06666666666667	48.1
575	The Experiment	7.5	2001-03-07	-1	34.68333333333333	37.199999999999996	29.6
576	The Wild Bunch	7.7	1969-06-17	-1	51.5	54.4	51.2
578	Jaws	7.5	1975-06-18	-1	40.949999999999996	39.4	42.6
579	Jaws 2	5.9	1978-06-16	42.17	44.56666666666667	47.26666666666667	45.6
580	Jaws: The Revenge	3.5	1987-07-17	-1	33.300000000000004	35.833333333333336	50.0
581	Dances with Wolves	7.6	1990-11-09	-1	39.85	37.6	35.8
582	The Lives of Others	7.9	2006-03-15	47.910000000000004	49.63333333333333	47.03333333333333	44.5
583	Life of Brian	7.7	1979-08-17	-1	37.916666666666664	39.06666666666667	38.6
584	2 Fast 2 Furious	6.2	2003-06-05	32.25	31.13333333333333	27.799999999999997	29.7
